epoch,loss,lr,output_loss,output_mean_absolute_error,output_mean_error,val_loss,val_output_loss,val_output_mean_absolute_error,val_output_mean_error,val_variance_output_loss,variance_output_loss
0,0.4683391919423794,0.0005,0.4682960119740716,0.7082691727013424,-0.008918192494532158,0.31494519611199695,0.31490184863408405,0.6095901330312093,0.05305911352237066,0.31490184863408405,0.4682960119740716
1,0.43796643049552525,0.0005,0.4379228399745349,0.658157297249498,0.017077620494468457,0.25221356749534607,0.2521696090698242,0.5795734524726868,0.20310503741105398,0.2521696090698242,0.4379228399745349
2,0.26576477880107946,0.0005,0.26572060764863575,0.5443131286522438,0.002117019756857691,0.11394478877385457,0.11390041311581929,0.47583746910095215,0.0024134417374928794,0.11390041311581929,0.26572060764863575
3,0.1758577710595624,0.0005,0.17581326052032667,0.5081398240451155,-0.058147176875379576,0.006421751342713833,0.006377070521314939,0.4443744321664174,-0.06655299787720044,0.006377070521314939,0.17581326052032667
4,0.04563207778646129,0.0005,0.04558726467577548,0.4643735813683477,-0.07918746236326366,-0.10769863923390706,-0.1077435960372289,0.3958560824394226,-0.02460686940078934,-0.1077435960372289,0.04558726467577548
5,-0.07554752671898439,0.0005,-0.07559261008583266,0.41858377230578453,-0.06742608235699349,-0.172270268201828,-0.17231546342372894,0.37599841753641766,-0.05874456154803435,-0.17231546342372894,-0.07559261008583266
6,-0.1529373270620046,0.0005,-0.1529826699145909,0.3922654205355151,-0.06856813474461951,-0.26855650544166565,-0.2686019837856293,0.3446325163046519,-0.04176591647168001,-0.2686019837856293,-0.1529826699145909
7,-0.2416038567136074,0.0005,-0.241649454009944,0.36896835524460364,-0.06980036860653038,-0.3292524615923564,-0.3292981485525767,0.335330605506897,-0.0374098631242911,-0.3292981485525767,-0.241649454009944
8,-0.30233729913316926,0.0005,-0.3023831094133443,0.3483401434174899,-0.05256135626856623,-0.4025898178418477,-0.40263574322064716,0.3089996874332428,-0.05634478231271108,-0.40263574322064716,-0.3023831094133443
9,-0.358206733547408,0.0005,-0.35825276477583523,0.33540446799376916,-0.05680522899111283,-0.4510775109132131,-0.4511236846446991,0.3059090276559194,-0.06254258503516515,-0.4511236846446991,-0.35825276477583523
10,-0.41731057804206323,0.0005,-0.41735681172074945,0.31623125795660345,-0.043496189960118,-0.4928334355354309,-0.49287978808085126,0.2811453938484192,-0.025367471389472485,-0.49287978808085126,-0.41735681172074945
11,-0.44414022873187886,0.0005,-0.4441866309478365,0.3103233257244373,-0.048020511255438984,-0.5377180377642313,-0.5377645889918009,0.2753743827342987,0.003990642260760069,-0.5377645889918009,-0.4441866309478365
12,-0.4865074805144606,0.0005,-0.4865541252596625,0.2964611906429817,-0.03207858860621165,-0.5535712440808614,-0.5536180337270101,0.2744128108024597,-0.07375699902574222,-0.5536180337270101,-0.4865541252596625
13,-0.5344322292969145,0.0005,-0.5344791021840326,0.2850583113473037,-0.03966026730706979,-0.6061210831006368,-0.6061681111653646,0.2635080913702647,-0.028885582617173593,-0.6061681111653646,-0.5344791021840326
14,-0.5538681056992761,0.0005,-0.5539152077559767,0.27846690087482845,-0.029726877118107575,-0.6326040824254354,-0.6326512893040975,0.2514599760373433,-0.025904102716594934,-0.6326512893040975,-0.5539152077559767
15,-0.5980185999952513,0.0005,-0.5980658880595503,0.2648170369452444,-0.02658930411241178,-0.6722173889478048,-0.6722647746404012,0.2389138638973236,-0.032905727004011474,-0.6722647746404012,-0.5980658880595503
16,-0.6074111276659472,0.0005,-0.6074585770738536,0.26472855128090955,-0.024136831582491768,-0.7010928193728129,-0.7011403242746989,0.232666144768397,-0.003454988356679678,-0.7011403242746989,-0.6074585770738536
17,-0.6449392191294966,0.0005,-0.6449868596833328,0.2558433249078948,-0.02077843280958718,-0.7002993027369181,-0.700347105662028,0.23545807103315988,0.013270367247362932,-0.700347105662028,-0.6449868596833328
18,-0.6752202921900256,0.0005,-0.6752681485537825,0.24926034643732267,-0.0214780379038561,-0.6909170746803284,-0.6909650564193726,0.2360620697339376,-0.036666255444288254,-0.6909650564193726,-0.6752681485537825
19,-0.6944847497446783,0.00025,-0.694532758203046,0.24341389691007548,-0.015215036732240998,-0.7541155815124512,-0.7541636228561401,0.22042852640151978,-0.007279720933487018,-0.7541636228561401,-0.694532758203046
20,-0.7142275386843188,0.00025,-0.7142755861940056,0.24054874171470775,-0.020175162357567198,-0.7856404980023702,-0.785688598950704,0.21833361188570657,-0.0054665956025322275,-0.785688598950704,-0.7142755861940056
21,-0.7326164245605469,0.00025,-0.7326645563388693,0.2352885948172931,-0.010706035071052611,-0.7641420960426331,-0.7641902565956116,0.22145294149716696,-0.020493830864628155,-0.7641902565956116,-0.7326645563388693
22,-0.736461994976833,0.00025,-0.7365101863598001,0.2343180888685687,-0.011667544455749208,-0.8114201823870341,-0.8114684621493021,0.2105680157740911,-0.029014897843201954,-0.8114684621493021,-0.7365101863598001
23,-0.7522524780240553,0.00025,-0.7523007618969885,0.22999691449362655,-0.015967099638334637,-0.8078257838884989,-0.8078741232554117,0.21342652042706808,0.01950344101836284,-0.8078741232554117,-0.7523007618969885
24,-0.7613865095993568,0.00025,-0.7614348777409258,0.22899622547215429,-0.008143289544587505,-0.8134645819664001,-0.8135129809379578,0.2171677201986313,-0.0011013131588697433,-0.8135129809379578,-0.7614348777409258
