epoch,loss,lr,output_loss,output_mean_absolute_error,output_mean_error,val_loss,val_output_loss,val_output_mean_absolute_error,val_output_mean_error,val_variance_output_loss,variance_output_loss
0,-0.5057632897609173,0.0005,-0.5057888743735707,0.3165601490021769,-0.010147660675802146,-0.8311702093252769,-0.8311963757643333,0.22359375426402459,-0.023628416345812954,-0.8311963757643333,-0.5057888743735707
1,-0.870935916773546,0.0005,-0.87096247521799,0.21535458916158817,-0.002232000352626146,-0.9204430557214297,-0.9204699970208682,0.2029243828012393,0.00023185483251626676,-0.9204699970208682,-0.87096247521799
2,-0.9581123165992785,0.0005,-0.9581395959549113,0.1998135404609668,-0.0023020759357937743,-0.9918225373213108,-0.9918501640741642,0.19202712264198524,-0.035323570240647174,-0.9918501640741642,-0.9581395959549113
3,-0.9991928486427518,0.0005,-0.9992207847932763,0.19248424489487972,-0.0035120305924940466,-1.0336925032047124,-1.0337207431976612,0.18552768860871977,-0.0006440429446788934,-1.0337207431976612,-0.9992207847932763
4,-1.0349122955600845,0.0005,-1.03494085164975,0.18738897681744623,-0.0032248233617750057,-1.0749354511499405,-1.0749642997980118,0.17976110686476415,0.024753873952879354,-1.0749642997980118,-1.03494085164975
5,-1.0625172430264163,0.0005,-1.0625463743199672,0.18339316337220452,-0.004306567058132004,-1.091789035842969,-1.091818473660029,0.1790235429429091,0.00425039110884357,-1.091818473660029,-1.0625463743199672
6,-1.0914362416084387,0.0005,-1.0914659118855685,0.1796652298809877,-0.004200135308033876,-1.1148235637408037,-1.1148534875649672,0.17354360681313735,-0.0033377644050723086,-1.1148534875649672,-1.0914659118855685
7,-1.1092376968245516,0.0005,-1.1092679524726705,0.17671831784599118,-0.003964950739374277,-1.1091640614546263,-1.1091945927876692,0.17441330362971014,-0.018581925242100485,-1.1091945927876692,-1.1092679524726705
8,-1.1231356605029563,0.0005,-1.1231666470387343,0.17427899756792511,-0.004898839297074912,-1.147113343844047,-1.147144691302226,0.1690308417265232,0.007127646329955986,-1.147144691302226,-1.1231666470387343
9,-1.141786704058332,0.0005,-1.1418183472619128,0.17182951282336514,-0.005029352427497983,-1.157941311597824,-1.1579732596874237,0.16879182452192673,0.006805444306407411,-1.1579732596874237,-1.1418183472619128
10,-1.1621893637978447,0.0005,-1.1622216618899852,0.169623056295584,-0.004313624810739192,-1.1825112241965074,-1.182543886395601,0.16429559800487298,-0.0032307595292177913,-1.182543886395601,-1.1622216618899852
