epoch,loss,lr,output_loss,output_mean_absolute_error,output_mean_error,val_loss,val_output_loss,val_output_mean_absolute_error,val_output_mean_error,val_variance_output_loss,variance_output_loss
0,0.18524055099925704,0.0005,0.18519598786106223,0.5726211897583089,-0.047036172149495944,-0.1339455588022247,-0.13399149993291268,0.4539680859217277,-0.0789063495870393,-0.13399149993291268,0.18519598786106223
1,-0.35269652537874174,0.0005,-0.3527434389624331,0.3749625718491709,-0.055414123124339514,-0.4780683047496356,-0.47811609277358424,0.34174976784449357,-0.09091897086741832,-0.47811609277358424,-0.3527434389624331
2,-0.6133217602713495,0.0005,-0.613370430520457,0.29093839712122566,-0.03376807544965488,-0.6870363996579096,-0.6870858715130732,0.27166813898545045,-0.04500927912214628,-0.6870858715130732,-0.613370430520457
3,-0.7762198651957716,0.0005,-0.7762699501636701,0.23999567336251593,-0.02093931475582604,-0.8209152336304004,-0.820966016787749,0.23054705674831683,-0.05061471967313152,-0.820966016787749,-0.7762699501636701
4,-0.879577312968735,0.0005,-0.8796287637490493,0.21268142874424273,-0.012551487296119206,-0.9068875863001897,-0.9069396715897781,0.20963081889427626,-0.0523563577936819,-0.9069396715897781,-0.8796287637490493
5,-0.957672191481305,0.0005,-0.9577248419961358,0.1991791827046973,-0.011098246971686553,-0.9594962803217081,-0.9595495256093832,0.20195926210054985,-0.036877749738498375,-0.9595495256093832,-0.9577248419961358
6,-1.021497852017737,0.0005,-1.0215515828030741,0.18690979939240676,-0.009024690742142754,-0.9893899101477402,-0.9894442466589121,0.1981993896456865,-0.046844687241201215,-0.9894442466589121,-1.0215515828030741
7,-1.061870634301096,0.0005,-1.0619254764328656,0.18073294018833047,-0.008649423429901656,-1.0413721341353197,-1.0414275939647968,0.1855185696711907,-0.02404319750180898,-1.0414275939647968,-1.0619254764328656
8,-1.0901691180009108,0.0005,-1.0902251338856852,0.177284818683934,-0.00835228875442607,-1.0649873797710125,-1.0650440179384673,0.1831993328837248,-0.03637061192868994,-1.0650440179384673,-1.0902251338856852
9,-1.1231019298235576,0.0005,-1.1231593390305836,0.17225669069677338,-0.00738493441285677,-1.0960592191952925,-1.0961171411550963,0.1798405131468406,-0.015147157004461266,-1.0961171411550963,-1.1231593390305836
10,-1.1423226640774653,0.0005,-1.142381156866367,0.16880188150028896,-0.006357015112542316,-1.136977126965156,-1.1370361218085656,0.17120455434689155,-0.005803663292541527,-1.1370361218085656,-1.142381156866367
11,-1.16533006918736,0.0005,-1.1653896126991663,0.16706825404340386,-0.006595472440035998,-1.1319577625164619,-1.1320178394134228,0.17343243096883482,-0.021347368243508615,-1.1320178394134228,-1.1653896126991663
12,-1.1751763932725303,0.0005,-1.175236862948817,0.16566883250434175,-0.006713132700847032,-1.117589194041032,-1.1176501145729651,0.17355034729609123,0.02585999180491154,-1.1176501145729651,-1.175236862948817
13,-1.2038428452279832,0.00025,-1.2039039201206632,0.16116801279987025,-0.0066214742034009025,-1.144263187280068,-1.1443245800641866,0.1712214213151198,0.005813648082459202,-1.1443245800641866,-1.2039039201206632
14,-1.216690560691377,0.00025,-1.2167521129306564,0.16034279852850825,-0.007502596309452326,-1.1934782633414636,-1.1935400137534509,0.1654164785375962,-0.0003445734126636615,-1.1935400137534509,-1.2167521129306564
15,-1.219628360026922,0.00025,-1.2196902994416718,0.16007750914392307,-0.007013974219270082,-1.1838959501339839,-1.1839580581738398,0.16949017804402572,0.005626954299469407,-1.1839580581738398,-1.2196902994416718
16,-1.2291511399114234,0.00025,-1.2292134443409422,0.1586871877567381,-0.00679689092694933,-1.1783435298846319,-1.1784059955523565,0.16628242685244635,0.0016787412952488433,-1.1784059955523565,-1.2292134443409422
17,-1.23707874565043,0.000125,-1.2371413773960538,0.15769045965539086,-0.006300535025154678,-1.2106865231807415,-1.2107493464763348,0.16267426311969757,-0.019238139914635282,-1.2107493464763348,-1.2371413773960538
18,-1.2426067060894437,0.000125,-1.2426695286208749,0.1569026029135427,-0.006947338854710962,-1.1848392257323632,-1.1849020490279565,0.16594197371831307,0.013075723921736846,-1.1849020490279565,-1.2426695286208749
19,-1.2491472872913394,0.000125,-1.2492101727387843,0.15614743556222346,-0.0062422193683839096,-1.2008211039579832,-1.2008840487553523,0.16583516964545617,-0.004502027671640882,-1.2008840487553523,-1.2492101727387843
20,-1.254073916337429,6.25e-05,-1.2541368588423119,0.15515506560476416,-0.007014027094213754,-1.203800570506316,-1.2038635153036852,0.16496062507996193,-0.015227681795994822,-1.2038635153036852,-1.2541368588423119
21,-1.2553924235523257,6.25e-05,-1.2554553660572085,0.1555888705019258,-0.007131961167344235,-1.208758065333733,-1.2088210124235887,0.16275301862221497,-0.021817471643981453,-1.2088210124235887,-1.2554553660572085
22,-1.2574564004555726,3.125e-05,-1.2575193429604554,0.15498078881930083,-0.006530487863396685,-1.2094725668430328,-1.2095355139328883,0.16190356130783373,-0.01814503198525367,-1.2095355139328883,-1.2575193429604554
23,-1.2622050551267772,3.125e-05,-1.2622680628401601,0.1541769999342087,-0.006718575878568296,-1.2232217330199022,-1.2232847993190472,0.16191924134126076,-0.001222543131846648,-1.2232847993190472,-1.2622680628401601
24,-1.260018828078213,3.125e-05,-1.2600818897923853,0.15512881287906924,-0.006865026628793592,-1.2101490887311788,-1.210212155030324,0.1655558038216371,-0.008606136713821728,-1.210212155030324,-1.2600818897923853
25,-1.2611356678172054,3.125e-05,-1.2611987295313778,0.15478907258082658,-0.006840010894498287,-1.2101137775641222,-1.2101768461557536,0.1633743322812594,-0.020340651819983926,-1.2101768461557536,-1.2611987295313778
26,-1.2636117471588983,1.5625e-05,-1.2636748088730707,0.15391575818897313,-0.006905426627470769,-1.2200745000289037,-1.2201375686205351,0.16219669981644705,-0.0055942595309506245,-1.2201375686205351,-1.2636748088730707
