epoch,loss,lr,output_loss,output_mean_absolute_error,val_loss,val_output_loss,val_output_mean_absolute_error,val_variance_output_loss,variance_output_loss
0,-0.5158112869460953,0.0005,-0.5163175070495494,0.31950502739405073,-0.8499067758138363,-0.8504287336881344,0.22161671232718688,-0.8504287336881344,-0.5163175070495494
1,-0.9621237893856919,0.0005,-0.9626604275408585,0.20413268057268058,-1.0226542697503016,-1.023204342677043,0.1885054658811826,-1.023204342677043,-0.9626604275408585
2,-1.0708413234651724,0.0005,-1.0714027713865106,0.18415098375221814,-1.099804754440601,-1.100377075947248,0.17785080149769783,-1.100377075947248,-1.0714027713865106
3,-1.1231911881391936,0.0005,-1.1237734882816324,0.17581945063589988,-1.1354249119758606,-1.136017382144928,0.17297073625601256,-1.136017382144928,-1.1237734882816324
4,-1.1536426757698628,0.0005,-1.1542451149110855,0.17194112547552154,-1.1504203929350927,-1.1510333739794218,0.16858150265537775,-1.1510333739794218,-1.1542451149110855
5,-1.182343651745111,0.0005,-1.1829669672543053,0.16741911536340776,-1.1798214396605124,-1.180455635373409,0.16554861114575312,-1.180455635373409,-1.1829669672543053
6,-1.2048758465343956,0.0005,-1.2055205897227534,0.16465423146544744,-1.18481405881735,-1.1854694737837865,0.16319713970789543,-1.1854694737837865,-1.2055205897227534
7,-1.2164281694365462,0.0005,-1.2170947444464353,0.16269108989853848,-1.2156601250171661,-1.2163377106189728,0.15934333090598768,-1.2163377106189728,-1.2170947444464353
8,-1.2309912816802067,0.0005,-1.2316799500603666,0.16056478420681536,-1.2371358779760508,-1.2378359941335826,0.1569007016145266,-1.2378359941335826,-1.2316799500603666
9,-1.2459199962331289,0.0005,-1.246631708989011,0.15899570775565816,-1.2423850951286464,-1.243108339034594,0.1591298093016331,-1.243108339034594,-1.246631708989011
10,-1.259885602160049,0.0005,-1.2606212973340487,0.15676235358343957,-1.242132530762599,-1.2428805690545301,0.15708227169055206,-1.2428805690545301,-1.2606212973340487
11,-1.2767076601605933,0.0005,-1.2774674849215346,0.15468137417393707,-1.2398166564794688,-1.2405885366293101,0.15584832372573706,-1.2405885366293101,-1.2774674849215346
12,-1.2849286807371354,0.0005,-1.2857134204937706,0.1538555034950598,-1.2818865099778542,-1.282684137041752,0.15326457642591917,-1.282684137041752,-1.2857134204937706
13,-1.2924744444869474,0.0005,-1.2932841449912422,0.15246978900961275,-1.269426384797463,-1.2702486904767842,0.15311259145920092,-1.2702486904767842,-1.2932841449912422
14,-1.3066256051378717,0.0005,-1.3074608578610776,0.15101742410837715,-1.2828629658772395,-1.283711497600262,0.15057242948275346,-1.283711497600262,-1.3074608578610776
15,-1.3105123950474298,0.0005,-1.3113741063868314,0.1507084043994387,-1.2837007080133145,-1.2845754669262812,0.1515269402701121,-1.2845754669262812,-1.3113741063868314
16,-1.323280984404753,0.0005,-1.3241689248379869,0.14859027086671736,-1.3046962756377,-1.305597497866704,0.1492780796610392,-1.305597497866704,-1.3241689248379869
17,-1.3312646020958419,0.0005,-1.3321787878902736,0.14766894630404678,-1.3102531364330878,-1.3111802270779243,0.14656887232111052,-1.3111802270779243,-1.3321787878902736
18,-1.331457611086018,0.0005,-1.3323986804815753,0.14822656062366105,-1.326640670116131,-1.3275956557347224,0.14543958753347397,-1.3275956557347224,-1.3323986804815753
19,-1.3475320473917003,0.0005,-1.348500298538696,0.1456725764344496,-1.2919153364805074,-1.2928972656910236,0.14948675867456657,-1.2928972656910236,-1.348500298538696
20,-1.3504559261712439,0.0005,-1.35145199578454,0.14526437570863188,-1.3204309951800566,-1.321441413118289,0.14574426914063784,-1.321441413118289,-1.35145199578454
21,-1.3486953633172172,0.0005,-1.349719615379122,0.14574869884166128,-1.3062840677224672,-1.307322261425165,0.14722120102781516,-1.307322261425165,-1.349719615379122
22,-1.3797784118510004,0.00025,-1.3808214972014112,0.14164609614529336,-1.3479222930394685,-1.3489700234853303,0.1419087781642492,-1.3489700234853303,-1.3808214972014112
23,-1.3782206946598696,0.00025,-1.3792733314957446,0.14136784401402544,-1.3558293282985687,-1.3568869531154633,0.14112058998300478,-1.3568869531154633,-1.3792733314957446
24,-1.3813984244108708,0.00025,-1.3824611465051484,0.1416573617408779,-1.3281802947704608,-1.3292476947490985,0.14374569731836134,-1.3292476947490985,-1.3824611465051484
25,-1.387743360706484,0.00025,-1.388815927098809,0.1406664200015922,-1.3405860731234918,-1.3416636058917413,0.14253058657050133,-1.3416636058917413,-1.388815927098809
26,-1.3872842061748383,0.00025,-1.3883667637798578,0.14110554629233854,-1.345383229163977,-1.3464711331404173,0.14267834089696407,-1.3464711331404173,-1.3883667637798578
27,-1.40260969092851,0.000125,-1.4036995159791732,0.13870796434152355,-1.3473518032294054,-1.348443641112401,0.14172331902843255,-1.348443641112401,-1.4036995159791732
28,-1.4037791648144915,0.000125,-1.4048729024207922,0.13887934561477286,-1.3627919623484979,-1.3638877341380486,0.14046675367997244,-1.3638877341380486,-1.4048729024207922
29,-1.4071190598676961,0.000125,-1.4082167758616304,0.13824622782626386,-1.3560057374147267,-1.3571053239015431,0.14144896142757857,-1.3571053239015431,-1.4082167758616304
30,-1.4051084292214562,0.000125,-1.4062098788300048,0.13873943869175434,-1.3664814485953405,-1.3675846113608434,0.13936322855834776,-1.3675846113608434,-1.4062098788300048
31,-1.4113916877998727,0.000125,-1.4124970268338983,0.1377901965017512,-1.3658128655873811,-1.3669202006780183,0.13997842443103975,-1.3669202006780183,-1.4124970268338983
32,-1.4071632577920519,0.000125,-1.4082725752137109,0.1384634214328296,-1.355814972749123,-1.356926360955605,0.14032081371316543,-1.356926360955605,-1.4082725752137109
