epoch,loss,lr,output_loss,output_mean_absolute_error,val_loss,val_output_loss,val_output_mean_absolute_error,val_variance_output_loss,variance_output_loss
0,-0.5264262673158123,0.0005,-0.5269391759232891,0.31415536198953187,-0.8466055393218994,-0.8471302390098572,0.22635806982333845,-0.8471302390098572,-0.5269391759232891
1,-0.9494198290988652,0.0005,-0.94995250762111,0.20722547104262343,-0.9803346257943374,-0.9808748822945815,0.19823724260696998,-0.9808748822945815,-0.94995250762111
2,-1.0546109260934773,0.0005,-1.0551590156073523,0.1875877054953816,-1.080054067648374,-1.0806098282337189,0.1800319214279835,-1.0806098282337189,-1.0551590156073523
3,-1.1050267997414174,0.0005,-1.1055900134221472,0.17927885386678907,-1.088635075550813,-1.089206216426996,0.1775069311261177,-1.089206216426996,-1.1055900134221472
4,-1.1348020103242662,0.0005,-1.1353810931697037,0.1744975431398912,-1.1328129034775953,-1.1334002522321849,0.17220110560838991,-1.1334002522321849,-1.1353810931697037
5,-1.1616022227990508,0.0005,-1.1621982015744605,0.17058381772402562,-1.1580288776984582,-1.1586341032615075,0.16766124104078,-1.1586341032615075,-1.1621982015744605
6,-1.1827479160193242,0.0005,-1.1833627606883192,0.1674030654057108,-1.1729831878955548,-1.1736072531113257,0.16607836519296354,-1.1736072531113257,-1.1833627606883192
7,-1.1909849577479892,0.0005,-1.1916195546737824,0.16582038673487576,-1.2008868432961977,-1.2015320039712465,0.1621605112002446,-1.2015320039712465,-1.1916195546737824
8,-1.2160481651624044,0.0005,-1.2167038193856827,0.16285800166202313,-1.2144834880645459,-1.2151495126577525,0.15986853207533175,-1.2151495126577525,-1.2167038193856827
9,-1.2283536780964244,0.0005,-1.2290304068363074,0.1610516348270455,-1.205993482699761,-1.2066812033836658,0.15932303667068481,-1.2066812033836658,-1.2290304068363074
10,-1.2438746229566708,0.0005,-1.2445739711173858,0.1589274118343989,-1.228118591583692,-1.2288301449555616,0.16018661455466196,-1.2288301449555616,-1.2445739711173858
11,-1.2549013555651964,0.0005,-1.2556243338970223,0.15757374555775613,-1.249785725887005,-1.2505207703663752,0.1552780310694988,-1.2505207703663752,-1.2556243338970223
12,-1.2715626379456182,0.0005,-1.2723094135823876,0.15528853463404108,-1.2564627482340887,-1.2572212769435003,0.15409842706643617,-1.2572212769435003,-1.2723094135823876
13,-1.2730530548577357,0.0005,-1.2738241768846608,0.1549693636219911,-1.2500284543404212,-1.2508122554192176,0.15418807703715104,-1.2508122554192176,-1.2738241768846608
14,-1.2862064349530924,0.0005,-1.2870025929778512,0.1528216776522723,-1.2769779471250682,-1.2777865437360911,0.15027305885003164,-1.2777865437360911,-1.2870025929778512
15,-1.29710783428616,0.0005,-1.297929712016173,0.15223785467220075,-1.2736758841918066,-1.2745108214708476,0.15353160408826974,-1.2745108214708476,-1.297929712016173
16,-1.305356535526237,0.0005,-1.3062049350353202,0.15105308354502978,-1.2885040549131541,-1.289366419498737,0.15063976381833738,-1.289366419498737,-1.3062049350353202
17,-1.3133736355136139,0.0005,-1.3142495092719493,0.14987875498605496,-1.2968351611724267,-1.2977241140145521,0.14810719742224768,-1.2977241140145521,-1.3142495092719493
18,-1.3220434200884117,0.0005,-1.3229461392971,0.14896039887510165,-1.2806504918978765,-1.2815673305438116,0.15152484866288993,-1.2815673305438116,-1.3229461392971
19,-1.3295933668059532,0.0005,-1.3305238343248464,0.14777796577022534,-1.3109771494682019,-1.311921287041444,0.14643221692397043,-1.311921287041444,-1.3305238343248464
20,-1.3350839535395305,0.0005,-1.336042059069932,0.14699934698415526,-1.3202414443859687,-1.3212132453918457,0.14508826572161454,-1.3212132453918457,-1.336042059069932
21,-1.338638432820638,0.0005,-1.3396250638094815,0.1467980072052792,-1.3331187550838177,-1.3341197554881756,0.14520390560993782,-1.3341197554881756,-1.3396250638094815
22,-1.3465892252295908,0.0005,-1.347604622262897,0.1460619029071596,-1.3288949773861811,-1.3299242303921626,0.1452538279386667,-1.3299242303921626,-1.347604622262897
23,-1.3462316159046057,0.0005,-1.3472754329141945,0.1454427516671142,-1.319461811047334,-1.3205199149938731,0.14428097410843924,-1.3205199149938731,-1.3472754329141945
24,-1.373944353816485,0.00025,-1.375007174713443,0.14264277739055228,-1.3441975231354053,-1.3452648061972399,0.14231062680482864,-1.3452648061972399,-1.375007174713443
25,-1.3789498721710358,0.00025,-1.3800221845357106,0.142342841655317,-1.3482885291943183,-1.3493658258364751,0.13974837643595842,-1.3493658258364751,-1.3800221845357106
26,-1.380631759431627,0.00025,-1.38171381829965,0.14158614630048924,-1.3512873832996075,-1.352374452811021,0.14118375915747422,-1.352374452811021,-1.38171381829965
