epoch,loss,lr,output_loss,output_mean_absolute_error,output_mean_error,val_loss,val_output_loss,val_output_mean_absolute_error,val_output_mean_error,val_variance_output_loss,variance_output_loss
0,0.42364029329398584,0.0005,0.42359993504039173,0.6784855517847784,-0.014760426213515216,0.4452951004107793,0.44525423397620517,0.6616102953751882,-0.03903779946267605,0.44525423397620517,0.42359993504039173
1,0.25730505258101843,0.0005,0.257263811176707,0.5753255743404915,-0.01695649769028713,0.3035634520153205,0.30352186659971875,0.5713500479857127,-0.05265238632758459,0.30352186659971875,0.257263811176707
2,0.06609323151722743,0.0005,0.06605128630803063,0.4805335186678788,-0.03646517416526531,-0.018734611570835114,-0.018776894857486088,0.4462738335132599,-0.00981730044198533,-0.018776894857486088,0.06605128630803063
3,-0.11982689023917091,0.0005,-0.11986947143129234,0.41756348003601207,-0.03142158178098757,-0.19446160520116487,-0.19450452302893004,0.3908577263355255,-0.03692899706463019,-0.19450452302893004,-0.11986947143129234
4,-0.2577924253097896,0.0005,-0.2578355721358595,0.37304976274227275,-0.024984563977842957,-0.26391861339410144,-0.26396199812491733,0.37154292066891986,-0.010475842592616877,-0.26396199812491733,-0.2578355721358595
5,-0.3468326471489051,0.0005,-0.34687624255131033,0.34380933847920647,-0.016033431346496117,-0.35889771829048794,-0.35894153267145157,0.3447905133167903,-0.022053458689091105,-0.35894153267145157,-0.34687624255131033
6,-0.40982559837143995,0.0005,-0.40986961152019175,0.3256624623619277,-0.01048526966719535,-0.39687971274058026,-0.3969239443540573,0.3256414035956065,0.01832840343316396,-0.3969239443540573,-0.40986961152019175
7,-0.4756415193450862,0.0005,-0.4756858919201226,0.3063391590940541,-0.007542148124073343,-0.45253700017929077,-0.4525815447171529,0.306565597653389,-0.02441828806574146,-0.4525815447171529,-0.4756858919201226
8,-0.5277424017930853,0.0005,-0.5277871227469938,0.2925517769723103,-0.0021981930697401023,-0.5197588801383972,-0.5198037723700205,0.2914063185453415,-0.03238948589811722,-0.5198037723700205,-0.5277871227469938
9,-0.569596315766203,0.0005,-0.5696413630041582,0.28232716126688595,-0.00546992387911626,-0.5529102186361948,-0.5529554585615793,0.2885805815458298,0.006796797116597493,-0.5529554585615793,-0.5696413630041582
10,-0.6063082994058214,0.0005,-0.6063536487776657,0.2757002187186274,-0.006507491034551941,-0.5940113166968027,-0.5940568645795187,0.27351114153862,-0.026530043687671423,-0.5940568645795187,-0.6063536487776657
11,-0.661392526379947,0.0005,-0.6614382071741696,0.25869145424201573,-0.0015148248539531026,-0.658895343542099,-0.658941239118576,0.253889558215936,0.030158428475260735,-0.658941239118576,-0.6614382071741696
12,-0.6722571335989853,0.0005,-0.672303177159408,0.25841615323362677,-0.006317101455100909,-0.6746174494425455,-0.6746636430422465,0.25330885499715805,-0.004561048466712236,-0.6746636430422465,-0.672303177159408
13,-0.7308069755291117,0.0005,-0.7308533664407402,0.24366449333470444,-0.00386001534181936,-0.7407218217849731,-0.7407683730125427,0.2450296307603518,0.00944459205493331,-0.7407683730125427,-0.7308533664407402
14,-0.747568784088924,0.0005,-0.7476154709684437,0.2406510947079494,-0.0037071793179573685,-0.7439519464969635,-0.743998795747757,0.2465105801820755,-0.0038350370402137437,-0.743998795747757,-0.7476154709684437
15,-0.7746100004377037,0.0005,-0.7746569555381249,0.23492725321958804,-0.003717140912816956,-0.7716817657152811,-0.7717289129892985,0.2397151937087377,0.03440582690139612,-0.7717289129892985,-0.7746569555381249
16,-0.8168927523596533,0.0005,-0.8169400527559477,0.226102489078867,-0.0033233132341812396,-0.8107602496941885,-0.8108077545960745,0.2304342711965243,-0.023146659679089982,-0.8108077545960745,-0.8169400527559477
17,-0.8430990617850731,0.0005,-0.8431466704812544,0.22072497241455932,-0.004705905565060675,-0.8376037875811259,-0.8376514712969462,0.2233314091960589,0.02840524756660064,-0.8376514712969462,-0.8431466704812544
18,-0.8495461077525698,0.0005,-0.849594040163632,0.21984524870740957,-0.0038114842910576484,-0.854471743106842,-0.8545199036598206,0.22232854863007864,0.01106381268861393,-0.8545199036598206,-0.849594040163632
19,-0.8699972372630547,0.0005,-0.8700454831123352,0.2160732982487514,-0.004869716346328114,-0.7986629207928976,-0.7987113793691,0.23089931160211563,0.05104496516287327,-0.7987113793691,-0.8700454831123352
20,-0.9067723288618285,0.0005,-0.9068209230899811,0.21090263256738925,-0.00688698511683093,-0.8881188829739889,-0.8881676395734152,0.2203229640920957,0.00032572106768687564,-0.8881676395734152,-0.9068209230899811
21,-0.9120635030598476,0.0005,-0.9121124117538847,0.20776541402627682,-0.00398091537524657,-0.8962994714577993,-0.8963485856850942,0.214346411327521,-0.03740840079262853,-0.8963485856850942,-0.9121124117538847
22,-0.9316004709950809,0.0005,-0.9316497414276518,0.20543861902993302,-0.004632434342056513,-0.9080921212832133,-0.9081415931383768,0.2070989410082499,-0.024053718739499647,-0.9081415931383768,-0.9316497414276518
23,-0.9490769659650737,0.0005,-0.9491266114958401,0.2031476168796934,-0.008041769832147863,-0.9504116276899973,-0.9504615267117819,0.20177190750837326,0.012716272380203009,-0.9504615267117819,-0.9491266114958401
24,-0.9595703986184351,0.0005,-0.9596203986940712,0.20001671103567914,-0.004149549821359587,-0.9806460539499918,-0.9806962112585703,0.19832702229420343,-0.017389521352015436,-0.9806962112585703,-0.9596203986940712
25,-0.9741123935271954,0.0005,-0.9741627080687161,0.19829743227054333,-0.006136497908175506,-0.9612075686454773,-0.9612579941749573,0.2072879100839297,-0.018827828345820308,-0.9612579941749573,-0.9741627080687161
26,-1.0019789893051674,0.0005,-1.0020295545972626,0.1926896425670591,-0.007436250444854899,-0.9723649422327677,-0.9724156061808268,0.2044091671705246,-0.037447078774372734,-0.9724156061808268,-1.0020295545972626
27,-1.0128914837179512,0.00025,-1.0129422370729775,0.19414757937192917,-0.007051683380268514,-0.9667530655860901,-0.9668038785457611,0.20453497767448425,-0.02500775797913472,-0.9668038785457611,-1.0129422370729775
28,-1.0183525845922272,0.00025,-1.018403439686216,0.18924416550274553,-0.007941741066792145,-0.9764019151528677,-0.9764528175195059,0.20262397825717926,-0.0021045916558553777,-0.9764528175195059,-1.018403439686216
29,-1.031274018616512,0.000125,-1.03132492098315,0.18858652844511228,-0.004264934518342388,-1.0069619019826253,-1.0070128043492634,0.1967477152744929,-0.006593091879040003,-1.0070128043492634,-1.03132492098315
30,-1.0367456880109063,0.000125,-1.0367965903775445,0.19029168065251975,-0.007873136829183405,-0.9864844481150309,-0.9865353504816691,0.2056875800093015,-0.014492470305413008,-0.9865353504816691,-1.0367965903775445
31,-1.056868741224552,0.000125,-1.0569196507848542,0.18351224321743537,-0.005549990867087939,-1.0172940293947856,-1.0173450509707134,0.19631670663754144,-0.003333003648246328,-1.0173450509707134,-1.0569196507848542
