epoch,loss,lr,output_loss,output_mean_absolute_error,output_mean_error,val_loss,val_output_loss,val_output_mean_absolute_error,val_output_mean_error,val_variance_output_loss,variance_output_loss
0,0.4701988973787853,0.0005,0.4701773715870721,0.6984561170850482,0.007049064817173141,0.5653852224349976,0.5653635859489441,0.7410835027694702,-0.08107152581214905,0.5653635859489441,0.4701773715870721
1,0.47206479949610575,0.0005,0.47204320558479856,0.6960574218205043,-0.015608825454754489,0.5562756657600403,0.5562540292739868,0.7070214748382568,-0.20102933049201965,0.5562540292739868,0.47204320558479856
2,0.4344827724354608,0.0005,0.43446106144360136,0.6673139972346169,-0.03487481575991426,0.5411865711212158,0.541164755821228,0.7241916656494141,-0.21289412677288055,0.541164755821228,0.43446106144360136
3,0.40713371123586384,0.0005,0.407111827816282,0.6470564816679273,-0.0013065316847392491,0.4861792027950287,0.48615720868110657,0.6668053865432739,-0.0882539376616478,0.48615720868110657,0.407111827816282
4,0.4623585662671498,0.0005,0.46233647636004854,0.6803768830639976,-0.0188653115183115,0.5154384970664978,0.5154163241386414,0.6776679158210754,-0.08814410865306854,0.5154163241386414,0.46233647636004854
5,0.43311594107321333,0.0005,0.4330936904464449,0.6304803362914494,0.021127029322087765,0.467369943857193,0.4673475921154022,0.6493909358978271,-0.03805801272392273,0.4673475921154022,0.4330936904464449
6,0.4274472785847528,0.0005,0.42742487468889784,0.645557735647474,0.00216120933847768,0.42080390453338623,0.42078137397766113,0.6333025097846985,-0.0571783073246479,0.42078137397766113,0.42742487468889784
7,0.3171581785593714,0.0005,0.3171355798840523,0.5937911250761577,0.027799820793526515,0.33884432911872864,0.3388216197490692,0.6161026954650879,-0.09649410843849182,0.3388216197490692,0.3171355798840523
8,0.3030601761170796,0.0005,0.3030374273657799,0.5999929394040789,0.019397654703685215,0.2597125768661499,0.2596897482872009,0.5965803861618042,-0.13064412772655487,0.2596897482872009,0.3030374273657799
9,0.25726210113082615,0.0005,0.2572391874023846,0.576071058000837,-0.013564694805869035,0.2290172576904297,0.2289942502975464,0.5585132241249084,-0.05865585058927536,0.2289942502975464,0.2572391874023846
10,0.20418338903359004,0.0005,0.2041603039417948,0.5530225123677935,-0.003633747941681317,0.1744706928730011,0.17444753646850586,0.524432897567749,0.012494165450334549,0.17444753646850586,0.2041603039417948
11,0.1594297726239477,0.0005,0.15940654650330544,0.5277951742921557,-0.019879334207092012,0.15548014640808105,0.15545684099197388,0.5134415626525879,-0.05114668607711792,0.15545684099197388,0.15940654650330544
12,0.1484194914145129,0.0005,0.14839611069432326,0.5185904992478234,-0.01257766889674323,0.07307282835245132,0.07304937392473221,0.49691468477249146,-0.14281892776489258,0.07304937392473221,0.14839611069432326
13,0.11615452223590442,0.0005,0.11613102097596441,0.5047123091561454,-0.043581237351255755,0.1546998918056488,0.15467634797096252,0.5105931758880615,0.030720548704266548,0.15467634797096252,0.11613102097596441
14,0.058227781538984606,0.0005,0.05820414876299245,0.46929657246385303,0.0005205922893115453,0.005044036544859409,0.005020324140787125,0.4519207775592804,-0.09116548299789429,0.005020324140787125,0.05820414876299245
15,0.04000112035178712,0.0005,0.039977342555565495,0.46767796150275637,-0.03175133147409984,-0.043597906827926636,-0.04362174868583679,0.39334675669670105,0.03301936015486717,-0.04362174868583679,0.039977342555565495
16,0.01749736034045262,0.0005,0.017473459909004823,0.45513841084071566,-0.017920048774353096,-0.017924906685948372,-0.01794886402785778,0.43100449442863464,-0.04836466535925865,-0.01794886402785778,0.017473459909004823
17,-0.006802920950576663,0.0005,-0.0068269264219062665,0.4472463045801435,-0.037846162249999385,-0.006703353952616453,-0.0067274197936058044,0.4619813561439514,-0.013560689985752106,-0.0067274197936058044,-0.0068269264219062665
18,-0.04982504102268389,0.00025,-0.04984913447073528,0.4264790564775467,-0.03145905876798289,0.025839876383543015,0.025815751403570175,0.4697816073894501,-0.07205041497945786,0.025815751403570175,-0.04984913447073528
19,-0.03943170489843136,0.00025,-0.03945585140692336,0.4322264641523361,-0.023496836689966067,-0.03363444283604622,-0.033658601343631744,0.44848984479904175,-0.09732787311077118,-0.033658601343631744,-0.03945585140692336
20,-0.061959282495081425,0.000125,-0.061983462156994004,0.42569634105478016,-0.05312108062207699,0.0022436720319092274,0.00221947580575943,0.4637821316719055,-0.10686109960079193,0.00221947580575943,-0.061983462156994004
21,-0.07432058829415057,0.000125,-0.07434480231521386,0.42181669388498577,-0.03641224472916552,-0.08980319648981094,-0.08982741832733154,0.39978158473968506,-0.05899277701973915,-0.08982741832733154,-0.07434480231521386
22,-0.07550531880198312,0.000125,-0.0755295515326517,0.4166052107300077,-0.03699128642412169,-0.01675266958773136,-0.016776911914348602,0.4253269135951996,-0.015790103003382683,-0.016776911914348602,-0.0755295515326517
23,-0.06386229638675493,0.000125,-0.06388654480023044,0.42748761815684183,-0.045460889648113935,-0.05124316364526749,-0.051267415285110474,0.43260061740875244,-0.07901263982057571,-0.051267415285110474,-0.06388654480023044
24,-0.07726120496434825,6.25e-05,-0.07728547017489161,0.41950114497116636,-0.043163029776353924,0.005981725174933672,0.0059574563056230545,0.4794529974460602,-0.11291327327489853,0.0059574563056230545,-0.07728547017489161
25,-0.08195619123788285,6.25e-05,-0.08198046112166983,0.4151017027241843,-0.040504022501409054,-0.06177421286702156,-0.06179849058389664,0.4255097508430481,-0.13251550495624542,-0.06179849058389664,-0.08198046112166983
